,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
697,Hiraan,Belet Weyne,2011-10-01,0.0,89307.15625,193218.984375,,0.0,0.0,89307.1484375,193218.984375,,0.0,0.0,220812.8125,61713.3203125,,0.0,0.0,0.0,0.0,282526.140625,565052.28125,282526.1328125,565052.265625,282526.1328125,565052.265625
698,Hiraan,Bulo Burto,2011-10-01,0.0,2518.12841796875,181788.609375,,0.0,0.0,2564.690673828125,181742.046875,,0.0,0.0,129999.203125,54307.53125,,0.0,0.0,0.0,0.0,184306.73779296875,368613.4755859375,184306.73754882812,368613.47509765625,184306.734375,368613.46875
699,Hiraan,Jalalaqsi,2011-10-01,0.0,0.0,74186.953125,,0.0,0.0,0.0,74398.90625,,0.0,0.0,33054.046875,41344.8671875,,0.0,211.95208740234375,0.0,0.0,74398.90521240234,148797.8104248047,74398.90625,148797.8125,74398.9140625,148797.828125
700,Lower Juba,Afmadow,2011-10-01,0.0,34146.46875,49374.3125,,0.0,0.0,34146.46875,49374.3125,,0.0,34120.3671875,26.101530075073242,49374.3125,,0.0,0.0,0.0,0.0,83520.78125,167041.5625,83520.78125,167041.5625,83520.78121757507,167041.56243515015
701,Lower Juba,Badhaadhe,2011-10-01,0.0,4616.99658203125,56213.07421875,,0.0,0.0,4616.99609375,56213.07421875,,0.0,4616.99658203125,0.0,56213.07421875,,0.0,0.0,0.0,0.0,60830.07080078125,121660.1416015625,60830.0703125,121660.140625,60830.07080078125,121660.1416015625
702,Lower Juba,Jamaame,2011-10-01,0.0,0.0,212148.09375,,0.0,0.0,11.246597290039062,212136.859375,,0.0,11.246597290039062,0.0,212136.859375,,0.0,0.0,0.0,0.0,212148.09375,424296.1875,212148.10597229004,424296.2119445801,212148.10597229004,424296.2119445801
703,Lower Juba,Kismaayo,2011-10-01,0.0,81931.734375,188859.640625,,0.0,0.0,81931.734375,188859.640625,,0.0,81931.734375,0.0,188859.640625,,0.0,0.0,0.0,0.0,270791.375,541582.75,270791.375,541582.75,270791.375,541582.75
704,Lower Shabelle,Afgooye,2011-10-01,0.0,0.0,440.2321472167969,,0.0,0.0,0.0,440.2321472167969,,0.0,0.0,110202.453125,246806.421875,,0.0,356568.65625,356568.65625,0.0,357008.8883972168,714017.7767944336,357008.8883972168,714017.7767944336,357008.875,714017.75
705,Lower Shabelle,Baraawe,2011-10-01,0.0,0.0,0.0,,0.0,0.0,0.0,82822.1015625,,0.0,0.0,28327.384765625,83407.734375,,0.0,111735.1171875,28913.015625,0.0,111735.1171875,223470.234375,111735.1171875,223470.234375,111735.119140625,223470.23828125
706,Lower Shabelle,Kurtunwaarey,2011-10-01,0.0,0.0,4008.6484375,,0.0,0.0,0.0,4008.6484375,,0.0,0.0,56904.859375,34692.109375,,0.0,87588.3203125,87588.3203125,0.0,91596.96875,183193.9375,91596.96875,183193.9375,91596.96875,183193.9375
