,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,ML1_99,CS_99,ML2_99
66,Wadi Fira,Biltine,2009-07-01,4.449443340301514,83211.6875,94134.9453125,30250.986328125,147100.09375,0.0,177351.09375,0.0,0.0,0,0.0,0.0,0,0.0,0,177351.0822558403,177351.0822558403,177351.080078125,177351.080078125,177351.09375,177351.09375,,,
67,Wadi Fira,Dar-Tama,2009-07-01,0.0,0.0,187238.953125,0.0,187238.953125,0.0,187238.953125,0.0,0.0,0,0.0,0.0,0,0.0,0,187238.953125,187238.953125,187238.953125,187238.953125,187238.953125,187238.953125,,,
68,Wadi Fira,Kobé,2009-07-01,0.0,221.54861450195312,107812.09375,221.54861450195312,107812.09375,0.0,108033.640625,0.0,0.0,0,0.0,0.0,0,0.0,0,108033.64236450195,108033.64236450195,108033.64236450195,108033.64236450195,108033.640625,108033.640625,,,
69,Wadi Fira,Mégri,2009-07-01,0.0,32.58766555786133,58661.98828125,32.58766174316406,58661.98828125,0.0,58694.57421875,0.0,0.0,0,0.0,0.0,0,0.0,0,58694.57594680786,58694.57594680786,58694.575942993164,58694.575942993164,58694.57421875,58694.57421875,,,
70,Barh-El-Gazel,Barh-El-Gazel Nord,2009-10-01,0.0,0.0,65159.65625,65159.65625,0.0,0.0,65159.65625,0.0,0.0,0,0.0,0.0,0,0.0,0,65159.65625,65159.65625,65159.65625,65159.65625,65159.65625,65159.65625,,,
71,Barh-El-Gazel,Barh-El-Gazel Ouest,2009-10-01,0.0,10.448765754699707,105650.59375,105650.59375,0.0,0.0,105661.046875,0.0,0.0,0,10.448765754699707,0.0,0,0.0,0,105661.0425157547,105661.0425157547,105661.0425157547,105661.0425157547,105661.046875,105661.046875,,,
72,Barh-El-Gazel,Barh-El-Gazel Sud,2009-10-01,0.0,0.0,100704.125,100704.125,0.0,0.0,100704.125,0.0,0.0,0,0.0,0.0,0,0.0,0,100704.125,100704.125,100704.125,100704.125,100704.125,100704.125,,,
73,Batha,Batha Est,2009-10-01,0.0,189623.640625,4596.578125,194210.109375,0.0,10.099736213684082,194210.109375,0.0,0.0,0,10.099736213684082,0.0,0,0.0,0,194220.21875,194220.21875,194220.20911121368,194220.20911121368,194220.20911121368,194220.20911121368,,,
74,Batha,Batha Ouest,2009-10-01,0.0,145.75115966796875,203249.125,203394.90625,0.0,0.0,203394.90625,0.0,0.0,0,0.0,0.0,0,0.0,0,203394.87615966797,203394.87615966797,203394.90625,203394.90625,203394.90625,203394.90625,,,
75,Batha,Fitri,2009-10-01,0.0,249.42605590820312,113903.890625,113903.890625,0.0,249.4260711669922,113903.890625,0.0,0.0,0,249.42605590820312,0.0,0,0.0,0,114153.3166809082,114153.3166809082,114153.3166809082,114153.3166809082,114153.31669616699,114153.31669616699,,,
