,date,admin1Name,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
86,2010-07-01,Sanaag,544123,531602,0.0,531602.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,531602.0,531602.0,531602.0
87,2010-07-01,Sool,327427,319891,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,319891.0,319891.0,319891.0
88,2010-07-01,Togdheer,721363,704763,0.0,704763.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,704763.0,704763.0,704763.0
89,2010-07-01,Woqooyi Galbeed,1242003,1213425,0.0,1213425.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,1213425.0,1213425.0,1213425.0
90,2010-10-01,Awdal,673264,657771,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,0.0,657771.0,657771.0,657771.0
91,2010-10-01,Bakool,367227,358775,0.0,0.0,229028.0,129747.0,0.0,0.0,0.0,229028.0,129747.0,0.0,0.0,0.0,229028.0,129747.0,0.0,358775.0,358775.0,358775.0
92,2010-10-01,Banadir,1650228,1612257,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,1612257.0,1612257.0,1612257.0
93,2010-10-01,Bari,730147,713342,0.0,155812.0,557530.0,0.0,0.0,0.0,98742.0,614600.0,0.0,0.0,0.0,98742.0,614600.0,0.0,0.0,713342.0,713342.0,713342.0
94,2010-10-01,Bay,792182,773952,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,773952.0,773952.0,773952.0
95,2010-10-01,Galgaduud,569434,556330,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,0.0,556330.0,0.0,0.0,0.0,0.0,556330.0,0.0,556330.0,556330.0,556330.0
