,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
54,Southern,Machinga,2009-10-01,478696.21875,0.0,60332.70703125,478696.21875,0.0,60332.70703125,478696.21875,0.0,0.0,60332.70703125,0.0,0,0,0.0,0,0,0.0,0,478696.21875,539028.92578125,478696.21875,539028.92578125,478696.21875,539028.92578125,,,
55,Southern,Mangochi,2009-10-01,807097.5625,0.0,766.7115478515625,807097.5625,0.0,766.7115478515625,807097.5625,0.0,0.0,766.7115478515625,0.0,0,0,0.0,0,0,0.0,0,807097.5625,807864.2740478516,807097.5625,807864.2740478516,807097.5625,807864.2740478516,,,
56,Southern,Mulanje,2009-10-01,551121.6875,0.0,0.0,551121.6875,0.0,0.0,551121.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,551121.6875,,,
57,Southern,Mwanza,2009-10-01,99783.546875,0.0,0.0,99783.546875,0.0,0.0,99783.546875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,99783.546875,,,
58,Southern,Neno,2009-10-01,118560.1796875,0.25838351249694824,0.0,118560.1796875,0.0,0.0,118560.1796875,0.0,0.25838351249694824,0.0,0.0,0,0,0.25838351249694824,0,0,0.0,0,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,118560.4380710125,,,
59,Southern,Nsanje,2009-10-01,62751.66015625,189922.234375,0.0,59774.69140625,157476.375,0.0,59774.69140625,3040.12158203125,189859.09375,0.0,0.0,0,0,35422.8359375,0,0,0.0,0,252673.89453125,252673.89453125,252673.90234375,252673.90234375,252673.90673828125,252673.90673828125,,,
60,Southern,Phalombe,2009-10-01,338132.8125,0.0,0.0,338132.8125,0.0,0.0,338132.8125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,338132.8125,338132.8125,338132.8125,338132.8125,338132.8125,338132.8125,,,
61,Southern,Thyolo,2009-10-01,642996.125,0.0,0.0,642996.125,0.0,0.0,642996.125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,642996.125,642996.125,642996.125,642996.125,642996.125,642996.125,,,
62,Southern,Zomba,2009-10-01,535393.0,90748.21875,0.0,535393.0,90691.0625,0.0,535393.0,0.0,90748.21875,0.0,0.0,0,0,57.1639518737793,0,0,0.0,0,626141.21875,626141.21875,626141.2264518738,626141.2264518738,626141.21875,626141.21875,,,
63,Southern,Zomba City,2009-10-01,83619.390625,0.0,0.0,83619.390625,0.0,0.0,83619.390625,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,83619.390625,83619.390625,83619.390625,83619.390625,83619.390625,83619.390625,,,
