,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_en,Admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
105,2009-10-01,4.0,Somalia,Mudug,Jariiban,4.0,4.0,Mudug,Jariiban,81890,77838,0.0,0.0,0.0,77838.0,0.0,77838.0,0.0,0.0,0.0,77838.0,0.0,77838.0,0.0,0.0,0.0,77838.0,0.0,77838.0
106,2009-10-01,4.0,Somalia,Mudug,Xarardheere,4.0,4.0,Mudug,Xarardheere,51961,49390,0.0,0.0,0.0,49390.0,0.0,49390.0,0.0,0.0,0.0,49390.0,0.0,49390.0,0.0,0.0,0.0,49390.0,0.0,49390.0
107,2009-10-01,4.0,Somalia,Galgaduud,Dhuusamarreeb,4.0,4.0,Galgaduud,Dhuusamarreeb,144407,137263,0.0,0.0,0.0,137263.0,0.0,137263.0,0.0,0.0,0.0,137263.0,0.0,137263.0,0.0,0.0,0.0,137263.0,0.0,137263.0
108,2009-10-01,4.0,Somalia,Galgaduud,Cabudwaaq,4.0,4.0,Galgaduud,Cabudwaaq,101959,96915,0.0,0.0,0.0,96915.0,0.0,96915.0,0.0,0.0,0.0,96915.0,0.0,96915.0,0.0,0.0,0.0,96915.0,0.0,96915.0
109,2009-10-01,4.0,Somalia,Galgaduud,Cadaado,4.0,4.0,Galgaduud,Cadaado,129588,123177,0.0,0.0,0.0,123177.0,0.0,123177.0,0.0,0.0,0.0,123177.0,0.0,123177.0,0.0,0.0,0.0,123177.0,0.0,123177.0
110,2009-10-01,4.0,Somalia,Galgaduud,Ceel Buur,4.0,4.0,Galgaduud,Ceel Buur,83610,79473,0.0,0.0,0.0,79473.0,0.0,79473.0,0.0,0.0,0.0,79473.0,0.0,79473.0,0.0,0.0,0.0,79473.0,0.0,79473.0
111,2009-10-01,4.0,Somalia,Galgaduud,Ceel Dheer,4.0,4.0,Galgaduud,Ceel Dheer,109870,104434,0.0,0.0,0.0,104434.0,0.0,104434.0,0.0,0.0,0.0,104434.0,0.0,104434.0,0.0,0.0,0.0,104434.0,0.0,104434.0
112,2009-10-01,4.0,Somalia,Hiraan,Belet Weyne,4.0,4.0,Hiraan,Belet Weyne,235214,223578,0.0,0.0,0.0,223578.0,0.0,223578.0,0.0,0.0,0.0,223578.0,0.0,223578.0,0.0,0.0,0.0,223578.0,0.0,223578.0
113,2009-10-01,4.0,Somalia,Hiraan,Bulo Burto,4.0,4.0,Hiraan,Bulo Burto,138283,131442,0.0,0.0,0.0,131442.0,0.0,131442.0,0.0,0.0,0.0,131442.0,0.0,131442.0,0.0,0.0,0.0,131442.0,0.0,131442.0
114,2009-10-01,4.0,Somalia,Hiraan,Jalalaqsi,4.0,4.0,Hiraan,Jalalaqsi,147189,139907,0.0,0.0,0.0,139907.0,0.0,139907.0,0.0,0.0,0.0,139907.0,0.0,139907.0,0.0,0.0,0.0,139907.0,0.0,139907.0
115,2009-10-01,4.0,Somalia,Middle Shabelle,Jowhar,4.0,4.0,Middle Shabelle,Jowhar,179097,170237,0.0,0.0,0.0,170237.0,0.0,170237.0,0.0,0.0,0.0,170237.0,0.0,170237.0,0.0,0.0,0.0,170237.0,0.0,170237.0
116,2009-10-01,4.0,Somalia,Middle Shabelle,Adan Yabaal,4.0,4.0,Middle Shabelle,Adan Yabaal,37781,35911,0.0,0.0,0.0,35911.0,0.0,35911.0,0.0,0.0,0.0,35911.0,0.0,35911.0,0.0,0.0,0.0,35911.0,0.0,35911.0
117,2009-10-01,4.0,Somalia,Middle Shabelle,Balcad,4.0,4.0,Middle Shabelle,Balcad,212261,201760,0.0,0.0,0.0,201760.0,0.0,201760.0,0.0,0.0,0.0,201760.0,0.0,201760.0,0.0,0.0,0.0,201760.0,0.0,201760.0
118,2009-10-01,4.0,Somalia,Middle Shabelle,Cadale,4.0,4.0,Middle Shabelle,Cadale,86896,82597,0.0,0.0,0.0,82597.0,0.0,82597.0,0.0,0.0,0.0,82597.0,0.0,82597.0,0.0,0.0,0.0,82597.0,0.0,82597.0
119,2009-10-01,3.0,Somalia,Lower Shabelle,Marka,3.0,3.0,Lower Shabelle,Marka,198301,188491,0.0,0.0,188491.0,0.0,0.0,188491.0,0.0,0.0,188491.0,0.0,0.0,188491.0,0.0,0.0,188491.0,0.0,0.0,188491.0
120,2009-10-01,3.0,Somalia,Lower Shabelle,Afgooye,3.0,3.0,Lower Shabelle,Afgooye,238655,226848,0.0,0.0,226848.0,0.0,0.0,226848.0,0.0,0.0,226848.0,0.0,0.0,226848.0,0.0,0.0,226848.0,0.0,0.0,226848.0
121,2009-10-01,3.0,Somalia,Lower Shabelle,Baraawe,3.0,3.0,Lower Shabelle,Baraawe,74072,70407,0.0,0.0,70407.0,0.0,0.0,70407.0,0.0,0.0,70407.0,0.0,0.0,70407.0,0.0,0.0,70407.0,0.0,0.0,70407.0
122,2009-10-01,3.0,Somalia,Lower Shabelle,Kurtunwaarey,3.0,3.0,Lower Shabelle,Kurtunwaarey,262317,249340,0.0,0.0,249340.0,0.0,0.0,249340.0,0.0,0.0,249340.0,0.0,0.0,249340.0,0.0,0.0,249340.0,0.0,0.0,249340.0
